Number,Gender,NameSet,GivenName,Surname,City,EmailAddress,TelephoneNumber,Birthday
234,male,Polish,Jarek,Sawicki,Kielce,JarekSawicki@armyspy.com,"53 656 83 93",7/26/1949
235,male,Polish,Zbigniew,Wysocki,Warszawa/Wesoła,ZbigniewWysocki@teleworm.us,"53 936 39 77",1/19/1990
236,male,Polish,Marian,Adamski,Łódź,MarianAdamski@cuvox.de,"67 733 05 53",6/17/1996
237,female,Polish,Stefcia,Nowicka,Koszalin,StefciaNowicka@jourrapide.com,"88 938 13 86",5/28/1954
238,male,Polish,Feliks,Maciejewski,Zabrze,FeliksMaciejewski@gustr.com,"66 998 42 59",8/27/1956
239,male,Polish,Ksawery,Jaworski,Warszawa,KsaweryJaworski@rhyta.com,"53 668 80 68",5/28/1974
240,female,Polish,Beatrycze,Nowicka,Szczecin,BeatryczeNowicka@gustr.com,"60 399 99 24",6/22/1958
241,male,Polish,Mieszko,Jabłoński,Kraków,MieszkoJablonski@teleworm.us,"78 826 18 02",9/28/1967
242,male,Polish,Donat,Kalinowski,Warszawa/Wesoła,DonatKalinowski@gustr.com,"72 767 45 05",4/11/1981
243,female,Polish,Danuta,Kalinowska,Koszalin,DanutaKalinowska@jourrapide.com,"66 612 95 66",9/17/1932
244,male,Polish,Gaweł,Olszewski,Kraków,GawelOlszewski@armyspy.com,"79 226 85 37",12/23/1988
245,female,Polish,Małgorzata,Zawadzka,Warszawa,MalgorzataZawadzka@rhyta.com,"69 806 00 79",10/3/1950
246,female,Polish,Beata,Wojciechowska,Bydgoszcz,BeataWojciechowska@rhyta.com,"88 415 92 82",9/16/1963
247,male,Polish,Eugeniusz,Czerwinski,Świętochłowice,EugeniuszCzerwinski@gustr.com,"79 461 01 24",12/6/1936
248,male,Polish,Mścisław,Sokołowski,Łódź,MscislawSokolowski@armyspy.com,"66 177 39 68",11/29/1996
249,female,Polish,Bronisława,Zawadzka,Opole,BronislawaZawadzka@superrito.com,"67 570 63 27",3/10/1936
250,male,Polish,Aureliusz,"Nowak ",Koszalin,AureliuszNowak@einrot.com,"79 210 46 28",5/16/1934
251,male,Polish,Rajmund,Kamiński,Kraków,RajmundKaminski@superrito.com,"79 924 63 37",5/2/1987
252,male,Polish,Bożydar,Michalski,Poznań,BozydarMichalski@einrot.com,"66 330 60 75",4/26/1975
253,female,Polish,Waleria,Kucharska,Wrocław,WaleriaKucharska@fleckens.hu,"60 277 64 01",4/16/1937
254,male,Polish,Wojciech,Kwiatkowski,Ciechanów,WojciechKwiatkowski@cuvox.de,"88 134 58 52",9/21/1935
255,female,Polish,Krystyna,Czerwinska,Warszawa,KrystynaCzerwinska@dayrep.com,"51 475 16 98",11/2/1952
256,female,Polish,Halina,Nowakowska,Warszawa,HalinaNowakowska@dayrep.com,"51 684 68 36",1/23/1947
257,male,Polish,Felicjan,Wysocki,Poznań,FelicjanWysocki@gustr.com,"67 296 96 02",2/16/1968
258,male,Polish,Justyn,Szczepański,Świeradów-Zdrój,JustynSzczepanski@armyspy.com,"88 589 89 29",12/26/1977
259,female,Polish,Wera,Kucharska,Szczecin,WeraKucharska@jourrapide.com,"79 666 94 41",12/12/1941
260,male,Polish,Ksawery,Kowalczyk,"Zielona Góra",KsaweryKowalczyk@jourrapide.com,"78 928 99 31",3/15/1996
261,female,Polish,Martyna,Walczak,Bydgoszcz,MartynaWalczak@superrito.com,"69 184 57 84",2/24/1965
262,female,Polish,Kinga,Wysocka,Rybnik,KingaWysocka@jourrapide.com,"60 205 35 85",10/30/1976
263,male,Polish,Jarek,Nowicki,Warszawa,JarekNowicki@einrot.com,"79 809 02 65",11/7/1956
264,male,Polish,Dobrogost,"Nowak ",Poznań,DobrogostNowak@rhyta.com,"69 927 83 45",1/5/1958
265,female,Polish,Krystyna,Michalska,Katowice,KrystynaMichalska@jourrapide.com,"69 715 38 75",6/18/1963
266,male,Polish,Eliasz,Adamski,Warszawa,EliaszAdamski@jourrapide.com,"79 752 13 32",2/12/1951
267,male,Polish,Alfons,Rutkowski,Warszawa,AlfonsRutkowski@einrot.com,"69 296 43 37",9/29/1979
268,male,Polish,Walerian,Ostrowski,Katowice,WalerianOstrowski@jourrapide.com,"67 219 70 18",8/23/1946
269,female,Polish,Jagoda,Sawicka,Kraków,JagodaSawicka@fleckens.hu,"72 274 65 70",10/7/1979
270,male,Polish,Sylwester,Czarnecki,Łódź,SylwesterCzarnecki@gustr.com,"78 579 61 57",2/23/1974
271,female,Polish,Anastazja,Kucharska,Mysłowice,AnastazjaKucharska@einrot.com,"53 982 05 13",12/22/1930
272,male,Polish,Eliasz,"Dąbrowski ",Wrocław,EliaszDabrowski@cuvox.de,"79 213 42 34",8/17/1965
273,male,Polish,Lucjan,Tomaszewski,Szczecin,LucjanTomaszewski@cuvox.de,"66 164 76 55",5/12/1985
274,male,Polish,Błažej,Sawicki,Kraków,BlazejSawicki@superrito.com,"79 940 69 55",11/6/1994
275,female,Polish,Ania,Wojciechowska,Bytom,AniaWojciechowska@gustr.com,"51 884 33 55",11/9/1972
276,male,Polish,Marik,Sawicki,Katowice,MarikSawicki@jourrapide.com,"53 305 22 91",5/21/1941
277,male,Polish,Marceli,Duda,Szczecin,MarceliDuda@gustr.com,"69 994 54 05",11/5/1962
278,male,Polish,Bolesław,Sokołowski,Poznań,BoleslawSokolowski@fleckens.hu,"79 988 13 60",4/1/1955
279,male,Polish,Rafał,Borkowski,Wrocław,RafalBorkowski@teleworm.us,"66 700 52 00",5/23/1948
280,female,Polish,Kaja,Jasińska,Gryfice,KajaJasinska@einrot.com,"72 505 01 92",8/20/1978
281,male,Polish,Martyn,Piotrowski,Warszawa,MartynPiotrowski@einrot.com,"88 432 35 14",12/1/1938
282,male,Polish,Roman,Wysocki,"Zielona Góra",RomanWysocki@jourrapide.com,"88 291 62 87",10/3/1978
283,male,Polish,Egidiusz,Zawadzki,Gdańsk,EgidiuszZawadzki@einrot.com,"67 183 44 54",1/8/1957
284,male,Polish,Zachariasz,Symanski,Olsztyn,ZachariaszSymanski@fleckens.hu,"79 359 04 91",8/22/1936
285,female,Polish,Stefcia,Nowakowska,Gdańsk,StefciaNowakowska@rhyta.com,"79 369 26 48",3/24/1936
286,male,Polish,Wiesław,Zając,Warszawa,WieslawZajac@cuvox.de,"78 141 53 83",10/25/1965
287,male,Polish,Feliks,Kamiński,Katowice,FeliksKaminski@cuvox.de,"67 423 09 98",10/15/1942
288,female,Polish,Kazimiera,Zielinska,Gdynia,KazimieraZielinska@armyspy.com,"78 176 54 58",12/4/1988
289,male,Polish,Tobiasz,Gorski,Lublin,TobiaszGorski@armyspy.com,"79 838 30 14",10/9/1979
290,female,Polish,Patrycja,"Nowak ",Warszawa,PatrycjaNowak@einrot.com,"72 456 07 64",9/13/1991
291,female,Polish,Małgorzata,Ostrowska,Bydgoszcz,MalgorzataOstrowska@gustr.com,"69 114 68 26",10/31/1967
292,male,Polish,Ksawery,Adamczyk,Koszalin,KsaweryAdamczyk@cuvox.de,"88 198 56 27",10/31/1940
293,female,Polish,Klaudia,Woźniak,Opole,KlaudiaWozniak@gustr.com,"67 731 99 95",4/24/1965
294,male,Polish,Przemek,Grabowski,Kraków,PrzemekGrabowski@cuvox.de,"78 135 94 71",12/16/1933
295,male,Polish,Marek,Jasiński,Studzionka,MarekJasinski@einrot.com,"72 865 48 56",9/26/1946
296,male,Polish,Tymoteusz,Zawadzki,Warszawa,TymoteuszZawadzki@jourrapide.com,"53 291 73 20",12/6/1969
297,female,Polish,Felicja,Woźniak,Katowice,FelicjaWozniak@teleworm.us,"78 600 19 81",11/4/1960
298,female,Polish,Teodozja,Ostrowska,Wrocław,TeodozjaOstrowska@jourrapide.com,"69 427 22 51",4/27/1960
299,female,Polish,Katarzyna,Sobczak,Wrocław,KatarzynaSobczak@gustr.com,"66 660 36 11",9/30/1971
300,female,Polish,Klementyna,Kucharska,Warszawa,KlementynaKucharska@dayrep.com,"78 871 34 15",7/12/1951
